pid,Appliance_Type,Brand,kWh.yr,EER_Energy_Efficiency_Ratio,SEER_Seasonal_Energy_Efficiency_Ratio,Cooling_Capacity_BTUs,Energy_Star,Size,Product_Width_.in..,Product_Depth_.in..,Product_Height_.in..,Product_Volume_.cu._in..
04274902000P,Portable Air Conditioners,Royal Sovereign,66,10.5,-,10000,No,15.75 in. W x 14.75 in. D x 29.5 in. H,15.75,14.75,29.5,6853.21875
04274901000P,Portable Air Conditioners,Royal Sovereign,62,11,-,12000,No,19.75 in. W x 15.75 in. D x 29.5 in. H,19.75,15.75,29.5,9176.34375
04238501000P,Water Coolers & Filter Systems,Kenmore Elite,-,-,-,-,-,-,-,-,-,-
04201028000P,Window Air Conditioners,Frigidaire,0,9.4,-,22000,No,26.5 in. W x 26.5 in. D x 18.63 in. H,26.5,26.5,18.63,13082.9175
04238300000P,Water Softeners,Kenmore,-,-,-,-,-,16.5 in. W x 19.75 in. D x 46 in. H,16.5,19.75,46,14990.25
04234405000P,Accessories,Eco Water,-,-,-,-,-,-,-,-,-,-
04234824000P,Water Coolers & Filter Systems,Kenmore,-,-,-,-,-,-,-,-,-,-
04231930000P,Accessories,No Brand,-,-,-,-,-,-,-,-,-,-
04299999000P,Accessories,Pur,-,-,-,-,-,-,-,-,-,-
04201609000P,Portable Air Conditioners,Keystone,0,2.67,-,14000,No,19.25 in. W x 15.63 in. D x 32 in. H,19.25,15.63,32,9628.08
04298036000P,Portable Air Conditioners,Whynter,-,-,-,14000,-,-,-,-,-,-
04202040000P,Air Purifiers & Dehumidifiers,Hisense,-,-,-,-,Yes,-,-,-,-,-
04219400000P,Air Purifiers & Dehumidifiers,SPT,-,-,-,-,Yes,-,-,-,-,-
04201095000P,Portable Air Conditioners,Haier,11394,9.5,-,14000,No,20 in. W x 33.6 in. D x 16.6 in. H,20,33.6,16.6,11155.2
04272012000P,Portable Air Conditioners,Kenmore,672,8.24,-,12000,No,22.8 in. W x 11.8 in. D x 30 in. H,22.8,11.8,30,8071.2
04201015000P,Wall Air Conditioners,Frigidaire,1169,9,-,14000,Yes,24 in. W x 20.5 in. D x 14.5 in. H,24,20.5,14.5,7134
04201113000P,Window Air Conditioners,LG,530,9.7,-,18000,No,17.313 in. W x 12.813 in. D x 11.125 in. H,17.313,12.813,11.125,2467.875093
04234373000P,Accessories,Kenmore,-,-,-,-,-,-,-,-,-,-
04219101000P,Portable Air Conditioners,SPT,0,11.45,-,10000,No,15 in. W x 16 in. D x 30 in. H,15,16,30,7200
04234370000P,Accessories,Kenmore,-,-,-,-,-,-,-,-,-,-
04201099000P,Portable Air Conditioners,Haier,9641,9.5,-,9000,No,18.5 in. W x 34.3 in. D x 14 in. H,18.5,34.3,14,8883.7
04219351000P,Air Purifiers & Dehumidifiers,SPT,-,-,-,-,No,-,-,-,-,-
04239376000P,Water Softeners,Kenmore,-,-,-,-,-,-,-,-,-,-
04219652000P,Home Decor,Sunpentown,-,-,-,-,-,-,-,-,-,-
04238156000P,Water Coolers & Filter Systems,Kenmore,-,-,-,-,-,-,-,-,-,-
04201023000P,Window Air Conditioners,Frigidaire,0,9.7,-,12000,No,16 in. W x 13.25 in. D x 12 in. H,16,13.25,12,2544
04250701000P,Air Purifiers & Dehumidifiers,Kenmore,-,-,-,-,Yes,-,-,-,-,-
04219121000P,Portable Air Conditioners,SPT,-,-,-,12000,No,16.5 in. W x 15.25 in. D x 30.5 in. H,16.5,15.25,30.5,7674.5625
04219131000P,Portable Air Conditioners,SPT,-,-,-,13000,No,14 in. W x 20 in. D x 30.25 in. H,14,20,30.25,8470
04201085000P,Portable Air Conditioners,DeLONGHI,0,0,-,13000,No,17 in. W x 15 in. D x 30.5 in. H,17,15,30.5,7777.5
04201031000P,Window Air Conditioners,Frigidaire,820,9.8,-,28500,No,19.563 in. W x 19.125 in. D x 12.125 in. H,19.563,19.125,12.125,4536.476297
04219100000P,Portable Air Conditioners,SPT,-,-,-,10000,No,12.8 in. W x 18.1 in. D x 33.1 in. H,12.8,18.1,33.1,7668.608
04201605000P,Window Air Conditioners,Keystone,0,8.8,-,12000,No,24 in. W x 20.1 in. D x 14.4 in. H,24,20.1,14.4,6946.56
04210001000P,Portable Air Conditioners,AMCOR,-,-,-,8000,No,12 in. W x 15 in. D x 30 in. H,12,15,30,5400
04209405000P,Air Purifiers & Dehumidifiers,Royal Sovereign,-,-,-,-,Yes,-,-,-,-,-
04210004000P,Portable Air Conditioners,AMCOR,-,-,-,12000,No,20 in. W x 31.5 in. D x 18 in. H,20,31.5,18,11340
04298039000P,Portable Air Conditioners,Whynter SNO,-,-,-,10000,-,-,-,-,-,-
04201036000P,Window Air Conditioners,SPT,556,10.8,-,8000,No,20 in. W x 16 in. D x 13 in. H,20,16,13,4160
04201032000P,Window Air Conditioners,SPT,690,10.8,-,10000,No,20 in. W x 21 in. D x 15 in. H,20,21,15,6300
04201115000P,Window Air Conditioners,LG,0,9.8,-,6000,No,22.6 in. W x 23.3 in. D x 15.4 in. H,22.6,23.3,15.4,8109.332
04201014000P,Wall Air Conditioners,Frigidaire,1169,9,-,14000,Yes,24 in. W x 20.5 in. D x 14.5 in. H,24,20.5,14.5,7134
04234929000P,Water Coolers & Filter Systems,Kenmore,-,-,-,-,-,-,-,-,-,-
04291999000P,Window Air Conditioners,Frigidaire,0,8.8,-,10000,No,24 in. W x 20.1 in. D x 14.4 in. H,24,20.1,14.4,6946.56
04289180000P,Window Air Conditioners,Frigidaire,1425,9.7,-,18000,Yes,26 in. W x 26.84 in. D x 16.84 in. H,26,26.84,16.84,11751.6256
04201011000P,Wall Air Conditioners,Frigidaire,805,9.4,-,10000,Yes,24 in. W x 20.5 in. D x 14.5 in. H,24,20.5,14.5,7134
